"super_code","j_code","start_date","end_date","count"
"SLG","160430","2021/10/1","2021/10/31","10"
"NTN","160430","2021/10/1","2021/10/31","0"
"S31","160430","2021/10/1","2021/10/31","0"
"SN4","161440","2021/10/1","2021/10/31","0"
"NWT","160560","2021/10/1","2021/10/31","751"
"PKS","161760","2021/10/1","2021/10/31","174"
"SSD","161910","2021/10/1","2021/10/31","0"
"OUK","162400","2021/10/1","2021/10/31","739"
"B01","162400","2021/10/1","2021/10/31","190"
"HC7","163030","2021/10/1","2021/10/31","0"
"SSD","163230","2021/10/1","2021/10/31","1,026"
"OHR","163300","2021/10/1","2021/10/31","0"
"SSD","163390","2021/10/1","2021/10/31","0"
"SSD","163400","2021/10/1","2021/10/31","0"
"SSD","163410","2021/10/1","2021/10/31","17"
"SN4","163530","2021/10/1","2021/10/31","0"
"B02","163590","2021/10/1","2021/10/31","0"
"I10","163590","2021/10/1","2021/10/31","0"
"SUZ","163590","2021/10/1","2021/10/31","0"
"YBM","163590","2021/10/1","2021/10/31","0"
"YOK","163590","2021/10/1","2021/10/31","0"
"ZNS","163590","2021/10/1","2021/10/31","4,534"
"MGS","163650","2021/10/1","2021/10/31","0"
"OUK","163730","2021/10/1","2021/10/31","281"
"B01","163730","2021/10/1","2021/10/31","116"
"SSD","163850","2021/10/1","2021/10/31","1,710"
"ACI","163860","2021/10/1","2021/10/31","0"
"SSD","163900","2021/10/1","2021/10/31","40"
"YSH","163970","2021/10/1","2021/10/31","1,901"
"SSD","164250","2021/10/1","2021/10/31","128"
"MUR","164310","2021/10/1","2021/10/31","23"
"SSD","164550","2021/10/1","2021/10/31","0"
"SSD","164590","2021/10/1","2021/10/31","0"
"I10","166210","2021/10/1","2021/10/31","0"
"JOY","166210","2021/10/1","2021/10/31","0"
"CSD","166240","2021/10/1","2021/10/31","598"
"SK6","166500","2021/10/1","2021/10/31","207"
"PS2","166670","2021/10/1","2021/10/31","0"
"PSO","166670","2021/10/1","2021/10/31","2,925"
"S31","166670","2021/10/1","2021/10/31","0"
"SK6","166710","2021/10/1","2021/10/31","16"
"YSH","167980","2021/10/1","2021/10/31","5,075"
"TJY","168180","2021/10/1","2021/10/31","202"
"PS2","168820","2021/10/1","2021/10/31","0"
"PSO","168820","2021/10/1","2021/10/31","469"
"ANK","168850","2021/10/1","2021/10/31","0"
"I10","169490","2021/10/1","2021/10/31","0"
"KEH","169680","2021/10/1","2021/10/31","0"
"B34","169720","2021/10/1","2021/10/31","79"
"KEH","169720","2021/10/1","2021/10/31","217"
"KEH","169730","2021/10/1","2021/10/31","0"
"KEH","169740","2021/10/1","2021/10/31","100"
"KEH","169840","2021/10/1","2021/10/31","30"
"S30","169840","2021/10/1","2021/10/31","0"
"S40","169990","2021/10/1","2021/10/31","0"
"SKA","170170","2021/10/1","2021/10/31","0"
"KEH","170480","2021/10/1","2021/10/31","0"
"KIC","171910","2021/10/1","2021/10/31","171"
"DKR","174320","2021/10/1","2021/10/31","6"
"I10","174320","2021/10/1","2021/10/31","0"
"IKR","174320","2021/10/1","2021/10/31","144"
"NTN","174320","2021/10/1","2021/10/31","207"
"OHR","174520","2021/10/1","2021/10/31","0"
"SMJ","174520","2021/10/1","2021/10/31","175"
"ANK","175020","2021/10/1","2021/10/31","0"
"OHR","177080","2021/10/1","2021/10/31","0"
"SK6","177080","2021/10/1","2021/10/31","0"
"B34","190250","2021/10/1","2021/10/31","0"
"OHR","190660","2021/10/1","2021/10/31","0"
"AGT","191620","2021/10/1","2021/10/31","1,563"
"YOK","192550","2021/10/1","2021/10/31","0"
"HC7","192850","2021/10/1","2021/10/31","194"
"GRH","193110","2021/10/1","2021/10/31","0"
"SK6","195380","2021/10/1","2021/10/31","0"
"JYS","196200","2021/10/1","2021/10/31","0"
"OHR","196250","2021/10/1","2021/10/31","0"
"M27","196620","2021/10/1","2021/10/31","0"
"YSH","196620","2021/10/1","2021/10/31","190"
"SMS","197190","2021/10/1","2021/10/31","0"
"H02","197710","2021/10/1","2021/10/31","0"
